                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.87091,                 0.9441,                 1.1993,                0.84199,                 0.6595,                0.77381,                0.59367,                0.93352,                0.94747,                 1.3854,             0.00062729,             0.00062729,             0.00062729
                     65,                0.87546,                0.93065,                 1.1985,                0.80322,                0.70713,                0.78237,                0.60347,                0.91926,                0.96498,                 1.3384,             0.00061079,             0.00061079,             0.00061079
                     66,                  0.856,                0.92384,                 1.1843,                0.84039,                 0.6794,                0.78447,                0.60716,                0.93112,                0.94246,                 1.3372,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.8605,                0.91439,                 1.1904,                0.83228,                0.67585,                0.78639,                0.61079,                0.91603,                0.90755,                 1.3322,             0.00057778,             0.00057778,             0.00057778
                     68,                0.85578,                0.91658,                 1.1848,                0.83032,                0.67503,                0.77709,                0.60483,                0.89806,                0.90955,                 1.3173,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.8515,                0.90286,                 1.1842,                0.84069,                 0.6809,                0.78647,                0.60817,                0.93002,                0.89681,                 1.3365,             0.00054478,             0.00054478,             0.00054478
                     70,                0.85232,                0.88252,                 1.1853,                0.81828,                0.69056,                0.78285,                0.60384,                0.96812,                0.92229,                 1.3483,             0.00052827,             0.00052827,             0.00052827
                     71,                0.84921,                0.90621,                 1.1858,                0.81497,                0.69773,                0.78819,                0.60631,                0.99919,                0.95474,                 1.3513,             0.00051177,             0.00051177,             0.00051177
                     72,                0.84462,                0.88997,                 1.1773,                0.82652,                0.67025,                0.78187,                0.60262,                0.92495,                0.94446,                  1.326,             0.00049527,             0.00049527,             0.00049527
                     73,                0.85147,                0.89506,                 1.1796,                0.82742,                0.68736,                 0.7833,                0.60325,                0.95568,                0.92908,                 1.3357,             0.00047876,             0.00047876,             0.00047876
                     74,                0.81661,                0.87833,                 1.1584,                0.85258,                0.68698,                0.79388,                 0.6158,                0.87879,                 0.9588,                  1.312,             0.00046226,             0.00046226,             0.00046226
                     75,                0.83284,                0.88249,                  1.172,                 0.8423,                 0.6892,                0.78875,                0.61254,                0.90067,                0.92433,                 1.3134,             0.00044576,             0.00044576,             0.00044576
                     76,                0.83393,                0.85568,                   1.17,                0.84325,                0.67742,                0.78782,                0.60989,                0.91444,                0.91954,                 1.3261,             0.00042925,             0.00042925,             0.00042925
                     77,                 0.8243,                0.87073,                 1.1642,                 0.8261,                0.69773,                0.78796,                0.61368,                0.92101,                0.91943,                 1.3346,             0.00041275,             0.00041275,             0.00041275
                     78,                0.82406,                0.87895,                 1.1653,                0.81714,                0.67384,                0.77906,                0.60557,                0.91945,                0.92184,                 1.3341,             0.00039625,             0.00039625,             0.00039625
                     79,                0.81311,                0.84653,                 1.1616,                0.84101,                0.67264,                0.78195,                0.61061,                0.91561,                0.91377,                 1.3374,             0.00037974,             0.00037974,             0.00037974
                     80,                0.82169,                0.86283,                  1.166,                0.84025,                0.69124,                 0.7898,                0.61293,                0.90444,                0.90399,                 1.3241,             0.00036324,             0.00036324,             0.00036324
                     81,                0.79588,                0.84279,                 1.1497,                0.85403,                0.66906,                0.77835,                0.60416,                 0.9066,                0.90757,                 1.3334,             0.00034674,             0.00034674,             0.00034674
                     82,                0.82273,                0.85985,                 1.1664,                0.82241,                0.71326,                0.78843,                0.61158,                0.90946,                0.89293,                 1.3166,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.8034,                0.84687,                  1.157,                0.81069,                0.70729,                0.78167,                0.60706,                0.91381,                0.88367,                 1.3307,             0.00031373,             0.00031373,             0.00031373
                     84,                0.81333,                0.85713,                  1.159,                 0.8296,                0.69773,                0.78699,                0.61049,                 0.9197,                0.86904,                 1.3268,             0.00029723,             0.00029723,             0.00029723
                     85,                0.80463,                0.84621,                 1.1569,                0.84307,                0.69176,                 0.7913,                0.61402,                0.91217,                0.86736,                 1.3169,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.8053,                0.83397,                 1.1524,                0.80938,                 0.7153,                0.79033,                0.60902,                0.89983,                 0.8737,                 1.3243,             0.00026422,             0.00026422,             0.00026422
                     87,                0.79921,                0.83885,                 1.1503,                0.83655,                0.69711,                 0.7914,                 0.6127,                0.90093,                0.89428,                 1.3227,             0.00024772,             0.00024772,             0.00024772
                     88,                0.79418,                0.83802,                 1.1487,                0.81226,                 0.7049,                0.78658,                0.61049,                0.93099,                0.89534,                 1.3309,             0.00023121,             0.00023121,             0.00023121
                     89,                0.79739,                 0.8261,                  1.149,                0.84707,                 0.6822,                0.78871,                0.61906,                0.91116,                0.88246,                 1.3262,             0.00021471,             0.00021471,             0.00021471
                     90,                0.78531,                0.82193,                 1.1454,                0.83395,                0.68698,                0.78727,                0.61407,                0.91513,                0.92001,                 1.3318,             0.00019821,             0.00019821,             0.00019821
                     91,                0.65075,                 0.5761,                 1.0832,                0.80653,                0.71221,                0.78895,                0.61566,                0.90906,                0.92916,                 1.3241,              0.0001817,              0.0001817,              0.0001817
                     92,                0.64159,                0.56282,                 1.0795,                0.80432,                0.71208,                 0.7875,                 0.6183,                0.88829,                0.89639,                 1.3125,              0.0001652,              0.0001652,              0.0001652
                     93,                0.62656,                0.54068,                 1.0668,                0.79167,                0.71924,                0.78434,                0.61804,                0.89271,                0.89469,                 1.3235,              0.0001487,              0.0001487,              0.0001487
                     94,                0.63022,                0.53539,                 1.0671,                0.79722,                0.70968,                0.78357,                0.61553,                0.91882,                0.90638,                  1.334,             0.00013219,             0.00013219,             0.00013219
                     95,                0.62578,                0.53229,                 1.0617,                0.81142,                0.71207,                0.78594,                0.61501,                0.89846,                0.89493,                 1.3381,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.6077,                0.51546,                 1.0571,                0.80496,                  0.715,                0.78705,                0.61537,                0.89467,                 0.8943,                 1.3296,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.60935,                0.50997,                 1.0563,                0.80117,                0.70848,                0.78749,                0.61866,                0.88571,                0.91089,                 1.3244,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.61285,                 0.5104,                 1.0578,                0.78506,                0.72162,                0.78675,                0.61484,                0.89079,                0.89355,                 1.3276,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.60573,                0.51187,                  1.058,                0.79321,                0.71948,                0.79097,                0.61734,                0.88572,                0.88573,                 1.3271,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.60027,                0.49609,                  1.049,                0.80573,                0.71352,                0.79094,                0.61653,                0.89021,                 0.8931,                 1.3301,             3.3173e-05,             3.3173e-05,             3.3173e-05
