                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5604,                 1.1726,                 1.4363,                0.77628,                0.71406,                0.73794,                0.29637,                 2.1132,                 1.1482,                 1.6433,               0.005644,               0.005644,               0.005644
                     46,                 1.5437,                  1.143,                 1.4317,                0.79177,                 0.7119,                0.74455,                0.29706,                 2.1124,                 1.1202,                 1.6297,               0.005545,               0.005545,               0.005545
                     47,                 1.5407,                 1.1553,                 1.4243,                0.85756,                0.72324,                0.79289,                0.33669,                  1.988,                  1.068,                   1.59,               0.005446,               0.005446,               0.005446
                     48,                 1.5369,                 1.1239,                 1.4205,                 0.7889,                0.71498,                0.74937,                0.29908,                 2.0824,                 1.1021,                 1.6394,               0.005347,               0.005347,               0.005347
                     49,                 1.5319,                 1.1172,                 1.4142,                0.79926,                0.73415,                0.77284,                  0.311,                 2.0736,                 1.0664,                  1.625,               0.005248,               0.005248,               0.005248
                     50,                 1.5136,                 1.0974,                  1.404,                0.79752,                0.74481,                0.77314,                0.30592,                 2.0786,                 1.0797,                 1.6307,               0.005149,               0.005149,               0.005149
                     51,                 1.4973,                 1.0846,                 1.3979,                 0.7892,                0.72461,                0.76649,                0.29797,                 2.1084,                 1.0909,                 1.6438,                0.00505,                0.00505,                0.00505
                     52,                 1.5059,                 1.0776,                 1.3876,                0.80594,                0.74416,                0.78625,                0.30442,                 2.0909,                 1.0781,                 1.6287,               0.004951,               0.004951,               0.004951
                     53,                 1.4915,                 1.0775,                 1.3929,                0.82646,                 0.7386,                0.78172,                0.30877,                 2.0835,                 1.0618,                 1.6094,               0.004852,               0.004852,               0.004852
                     54,                 1.4924,                 1.0625,                 1.3821,                0.83605,                0.72605,                0.77626,                0.31058,                 2.0794,                  1.057,                 1.5975,               0.004753,               0.004753,               0.004753
                     55,                   1.48,                 1.0415,                 1.3744,                0.83898,                0.74194,                0.78643,                0.32895,                 2.0246,                 1.0272,                 1.5646,               0.004654,               0.004654,               0.004654
                     56,                 1.4684,                  1.036,                 1.3728,                0.83314,                0.76974,                0.79519,                0.32399,                 2.0598,                 1.0349,                 1.5928,               0.004555,               0.004555,               0.004555
                     57,                 1.4575,                 1.0271,                 1.3652,                 0.8191,                0.75306,                0.76827,                0.30765,                 2.0964,                 1.0521,                 1.6211,               0.004456,               0.004456,               0.004456
                     58,                 1.4593,                 1.0138,                 1.3686,                0.85368,                0.75528,                0.79624,                0.32083,                 2.0778,                 1.0339,                 1.6321,               0.004357,               0.004357,               0.004357
                     59,                 1.4431,                 1.0154,                 1.3618,                0.86218,                0.74457,                0.78995,                0.32927,                 2.0375,                  1.007,                 1.5994,               0.004258,               0.004258,               0.004258
                     60,                 1.4377,                  1.007,                 1.3572,                0.85359,                0.75877,                0.79517,                0.34204,                 2.0127,                  1.001,                 1.5672,               0.004159,               0.004159,               0.004159
                     61,                 1.4301,                0.99695,                  1.354,                0.85142,                0.75973,                0.79745,                0.33466,                 2.0343,                 1.0041,                 1.5778,                0.00406,                0.00406,                0.00406
                     62,                 1.4182,                0.98081,                 1.3421,                0.81683,                0.76391,                0.78628,                0.32289,                 2.0697,                 1.0023,                 1.6003,               0.003961,               0.003961,               0.003961
                     63,                  1.413,                0.97213,                 1.3366,                0.84499,                0.76641,                0.80897,                0.33536,                 1.9871,                0.99187,                 1.5593,               0.003862,               0.003862,               0.003862
                     64,                 1.4092,                0.95099,                 1.3278,                0.82866,                0.77086,                0.80629,                0.34219,                 1.9774,                0.97057,                 1.5504,               0.003763,               0.003763,               0.003763
                     65,                 1.3928,                0.95491,                 1.3286,                0.83022,                0.76641,                0.82089,                0.34912,                  1.987,                0.94834,                 1.5626,               0.003664,               0.003664,               0.003664
                     66,                 1.3779,                 0.9307,                 1.3142,                 0.8346,                0.77976,                0.81084,                0.33817,                 2.0333,                0.95651,                 1.5743,               0.003565,               0.003565,               0.003565
                     67,                 1.3732,                0.93737,                 1.3133,                0.83516,                0.76974,                 0.8066,                 0.3399,                 1.9968,                0.94775,                 1.5714,               0.003466,               0.003466,               0.003466
                     68,                 1.3738,                0.91801,                 1.3108,                0.85336,                0.78976,                0.81969,                0.34642,                 1.9778,                0.94854,                 1.5641,               0.003367,               0.003367,               0.003367
                     69,                 1.3562,                0.91789,                  1.302,                0.86033,                0.78643,                0.82341,                0.34621,                 2.0011,                0.94433,                 1.5695,               0.003268,               0.003268,               0.003268
                     70,                 1.3522,                 0.9011,                 1.3006,                0.86124,                0.78198,                0.82795,                0.34623,                 2.0148,                 0.9389,                 1.5803,               0.003169,               0.003169,               0.003169
                     71,                 1.3417,                0.88845,                  1.292,                0.84206,                0.80311,                0.82392,                0.34148,                 2.0149,                0.92707,                 1.5785,                0.00307,                0.00307,                0.00307
                     72,                 1.3361,                0.88702,                 1.2924,                0.84057,                  0.802,                0.82626,                0.33662,                 2.0166,                0.94182,                 1.5804,               0.002971,               0.002971,               0.002971
                     73,                  1.341,                0.89043,                 1.2911,                0.85763,                0.80311,                0.83295,                0.34367,                 2.0119,                0.93937,                 1.5823,               0.002872,               0.002872,               0.002872
                     74,                 1.3274,                 0.8904,                 1.2869,                0.85734,                0.79978,                0.82381,                0.34366,                 2.0253,                0.93501,                 1.5736,               0.002773,               0.002773,               0.002773
                     75,                 1.3141,                0.87028,                 1.2765,                0.84976,                  0.802,                0.82753,                  0.346,                 2.0147,                0.92133,                 1.5738,               0.002674,               0.002674,               0.002674
