                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.1021,                0.83111,                 1.2031,                0.86671,                0.85886,                0.91514,                0.61082,                 1.0599,                0.66836,                 1.1732,               0.004654,               0.004654,               0.004654
                     56,                 1.0989,                0.82506,                  1.206,                0.88232,                0.83993,                0.90537,                0.60313,                 1.0821,                0.67046,                 1.1935,               0.004555,               0.004555,               0.004555
                     57,                 1.0991,                0.80805,                 1.2076,                0.88724,                0.84509,                0.90377,                0.60376,                 1.0874,                0.65688,                 1.2022,               0.004456,               0.004456,               0.004456
                     58,                 1.0952,                0.81776,                 1.2027,                0.86758,                0.86059,                0.89919,                 0.6027,                 1.0812,                0.66072,                 1.1941,               0.004357,               0.004357,               0.004357
                     59,                 1.0856,                0.80827,                 1.1979,                0.88899,                0.86059,                0.90951,                0.60811,                 1.0614,                0.66192,                 1.1771,               0.004258,               0.004258,               0.004258
                     60,                 1.0829,                0.80282,                 1.1925,                0.88098,                0.84087,                0.90789,                 0.6108,                 1.0642,                0.66957,                 1.1813,               0.004159,               0.004159,               0.004159
                     61,                 1.0758,                0.79944,                 1.1948,                0.87679,                0.85026,                0.91315,                0.62402,                 1.0356,                0.65366,                 1.1676,                0.00406,                0.00406,                0.00406
                     62,                 1.0662,                0.78643,                 1.1852,                0.88481,                0.84613,                0.90847,                0.62252,                 1.0243,                0.64936,                 1.1684,               0.003961,               0.003961,               0.003961
                     63,                 1.0613,                0.78814,                 1.1877,                0.88358,                0.83601,                0.90825,                0.61711,                  1.054,                 0.6514,                 1.1798,               0.003862,               0.003862,               0.003862
                     64,                 1.0617,                0.79165,                 1.1834,                0.84953,                0.86059,                 0.9104,                0.62811,                 1.0368,                0.64111,                 1.1612,               0.003763,               0.003763,               0.003763
                     65,                 1.0539,                 0.7769,                  1.179,                0.88263,                 0.8537,                 0.9175,                0.62762,                 1.0504,                0.63034,                 1.1722,               0.003664,               0.003664,               0.003664
                     66,                 1.0555,                 0.7627,                 1.1761,                0.87398,                0.83477,                0.90791,                0.62443,                 1.0329,                 0.6401,                 1.1597,               0.003565,               0.003565,               0.003565
                     67,                 1.0458,                0.76411,                 1.1712,                0.87685,                0.86403,                 0.9109,                0.62153,                 1.0363,                0.64937,                 1.1639,               0.003466,               0.003466,               0.003466
                     68,                 1.0408,                0.76557,                 1.1712,                0.88993,                0.84886,                 0.9145,                0.62276,                 1.0337,                0.64308,                 1.1621,               0.003367,               0.003367,               0.003367
                     69,                 1.0248,                0.75472,                   1.16,                0.87899,                 0.8537,                0.90933,                0.62558,                 1.0185,                0.64227,                 1.1619,               0.003268,               0.003268,               0.003268
                     70,                 1.0317,                0.75658,                 1.1702,                0.88308,                0.86231,                0.91309,                0.62778,                 1.0303,                0.63693,                 1.1668,               0.003169,               0.003169,               0.003169
                     71,                 1.0135,                0.74777,                 1.1572,                0.88521,                0.86403,                0.90919,                0.62392,                 1.0188,                0.64109,                 1.1597,                0.00307,                0.00307,                0.00307
                     72,                 1.0079,                0.73825,                 1.1552,                0.87954,                0.84203,                0.90464,                0.62987,                 1.0102,                0.63056,                 1.1584,               0.002971,               0.002971,               0.002971
                     73,                 1.0166,                0.73953,                 1.1572,                0.86623,                0.85817,                0.90076,                0.62846,                 1.0028,                0.62763,                 1.1542,               0.002872,               0.002872,               0.002872
                     74,                 0.9987,                 0.7281,                  1.144,                0.87434,                 0.8623,                0.90826,                0.63151,                0.99862,                0.62854,                  1.153,               0.002773,               0.002773,               0.002773
                     75,                0.98434,                 0.7226,                 1.1441,                0.87976,                0.83649,                0.90114,                0.62676,                0.99673,                 0.6354,                 1.1498,               0.002674,               0.002674,               0.002674
                     76,                 1.0002,                0.72057,                 1.1497,                0.88787,                0.84501,                0.90295,                 0.6266,                      1,                0.63544,                 1.1528,               0.002575,               0.002575,               0.002575
                     77,                0.99059,                0.71728,                 1.1423,                0.87255,                0.83649,                0.90104,                0.63126,                0.99401,                0.62741,                 1.1477,               0.002476,               0.002476,               0.002476
                     78,                0.98319,                0.72243,                 1.1439,                0.87832,                0.84485,                0.90423,                0.63002,                0.99422,                0.62301,                 1.1522,               0.002377,               0.002377,               0.002377
                     79,                0.96617,                0.70174,                  1.135,                0.87858,                0.84688,                0.90639,                0.62823,                0.99624,                0.63284,                 1.1557,               0.002278,               0.002278,               0.002278
                     80,                0.96292,                0.69346,                 1.1292,                0.88354,                0.85026,                0.90758,                0.62535,                  1.001,                0.63818,                 1.1557,               0.002179,               0.002179,               0.002179
                     81,                0.96013,                0.69568,                 1.1299,                0.88178,                0.84726,                0.90665,                0.62712,                 1.0039,                0.64202,                 1.1586,                0.00208,                0.00208,                0.00208
                     82,                0.95968,                0.68895,                 1.1311,                0.88451,                0.84362,                0.90388,                0.62715,                 1.0046,                0.63516,                 1.1594,               0.001981,               0.001981,               0.001981
                     83,                0.94961,                0.70163,                 1.1232,                0.87005,                0.85276,                0.90229,                0.62709,                 1.0041,                0.63345,                 1.1598,               0.001882,               0.001882,               0.001882
                     84,                0.93834,                0.68475,                 1.1176,                0.87161,                0.85298,                0.90227,                0.62693,                0.99725,                0.63119,                  1.152,               0.001783,               0.001783,               0.001783
                     85,                0.93868,                0.66583,                 1.1148,                0.87452,                0.85542,                0.90726,                0.63113,                 1.0047,                0.62482,                 1.1625,               0.001684,               0.001684,               0.001684
                     86,                0.92556,                0.66271,                 1.1117,                0.87632,                0.85367,                0.90844,                0.63098,                 0.9945,                0.62065,                 1.1562,               0.001585,               0.001585,               0.001585
                     87,                0.92674,                0.66556,                  1.111,                0.87796,                0.84509,                0.90624,                0.63265,                0.98975,                 0.6194,                 1.1571,               0.001486,               0.001486,               0.001486
                     88,                0.92041,                0.66568,                 1.1066,                0.88498,                0.83993,                 0.9051,                 0.6295,                0.98801,                0.62153,                 1.1561,               0.001387,               0.001387,               0.001387
                     89,                0.90518,                0.66233,                 1.1044,                0.88376,                 0.8375,                0.90506,                0.63085,                0.98581,                0.62198,                 1.1535,               0.001288,               0.001288,               0.001288
                     90,                0.90608,                0.65158,                  1.102,                0.87486,                0.85026,                0.90546,                0.63232,                0.98479,                0.62269,                 1.1543,               0.001189,               0.001189,               0.001189
                     91,                0.80729,                0.50507,                 1.0547,                0.86746,                 0.8561,                0.90512,                0.63401,                0.98054,                0.61557,                 1.1525,                0.00109,                0.00109,                0.00109
                     92,                0.78559,                0.49467,                 1.0374,                0.87075,                0.85542,                0.90518,                0.63406,                0.97938,                 0.6135,                 1.1545,               0.000991,               0.000991,               0.000991
                     93,                0.77638,                0.48935,                 1.0354,                0.87084,                0.86059,                0.90384,                0.63591,                0.98071,                 0.6164,                 1.1549,               0.000892,               0.000892,               0.000892
                     94,                 0.7667,                0.47964,                 1.0308,                0.87106,                0.86045,                0.90198,                0.63736,                0.97968,                0.61979,                 1.1538,               0.000793,               0.000793,               0.000793
                     95,                0.76049,                0.48048,                 1.0271,                0.86998,                0.86059,                0.90183,                0.63769,                0.97646,                0.61948,                 1.1512,               0.000694,               0.000694,               0.000694
                     96,                0.75158,                0.47302,                 1.0247,                0.87098,                0.86231,                0.90129,                0.63698,                0.97624,                0.61827,                 1.1544,               0.000595,               0.000595,               0.000595
                     97,                0.74241,                0.47031,                 1.0208,                0.86989,                0.86403,                0.90465,                0.63801,                 0.9731,                0.61847,                 1.1517,               0.000496,               0.000496,               0.000496
                     98,                0.73694,                0.46615,                 1.0152,                0.86723,                0.86747,                0.90407,                 0.6378,                0.97315,                0.61834,                 1.1529,               0.000397,               0.000397,               0.000397
                     99,                0.72892,                0.46262,                 1.0128,                0.86633,                0.87012,                0.90408,                0.63773,                0.97034,                0.62083,                  1.151,               0.000298,               0.000298,               0.000298
                    100,                0.72292,                 0.4612,                 1.0115,                0.86624,                0.86944,                0.90175,                0.63698,                 0.9705,                0.61905,                 1.1515,               0.000199,               0.000199,               0.000199
