                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.98105,                0.60903,                 1.0652,                0.91937,                0.82796,                0.90098,                0.61264,                 0.9922,                 0.5104,                 1.0214,               0.004951,               0.004951,               0.004951
                     53,                0.97615,                0.60598,                  1.062,                0.92099,                0.82974,                0.90316,                0.61529,                0.99107,                0.50814,                 1.0212,               0.004852,               0.004852,               0.004852
                     54,                 0.9675,                0.60073,                 1.0583,                0.92524,                0.82649,                0.90227,                0.61581,                0.99318,                0.50643,                 1.0216,               0.004753,               0.004753,               0.004753
                     55,                0.97092,                 0.6022,                 1.0606,                0.91735,                  0.835,                0.90314,                0.61681,                0.98641,                0.50495,                 1.0191,               0.004654,               0.004654,               0.004654
                     56,                0.96683,                0.59852,                 1.0609,                0.92383,                0.83501,                0.90359,                0.61805,                0.98535,                0.49723,                 1.0213,               0.004555,               0.004555,               0.004555
                     57,                0.96623,                0.60004,                 1.0591,                0.92698,                0.83228,                0.90462,                0.61852,                0.98334,                0.50357,                 1.0191,               0.004456,               0.004456,               0.004456
                     58,                  0.956,                0.59236,                 1.0544,                0.92752,                0.83135,                0.90612,                0.61815,                0.98333,                0.50443,                 1.0187,               0.004357,               0.004357,               0.004357
                     59,                0.95704,                0.58871,                 1.0531,                0.92667,                 0.8307,                0.90598,                0.61944,                0.98019,                 0.5015,                 1.0146,               0.004258,               0.004258,               0.004258
                     60,                 0.9573,                0.58453,                 1.0516,                0.92594,                0.83445,                0.90807,                0.62065,                0.98105,                0.49205,                 1.0171,               0.004159,               0.004159,               0.004159
                     61,                0.95324,                0.58559,                 1.0523,                0.92872,                0.83359,                0.90708,                0.62314,                0.97948,                0.49503,                 1.0151,                0.00406,                0.00406,                0.00406
                     62,                0.94784,                0.58364,                 1.0486,                0.92557,                0.83526,                0.90835,                0.62324,                0.97806,                0.49467,                 1.0163,               0.003961,               0.003961,               0.003961
                     63,                0.94949,                0.58519,                 1.0511,                0.92551,                0.83986,                  0.909,                0.62432,                0.97834,                0.48814,                 1.0157,               0.003862,               0.003862,               0.003862
